Generation,Identifier,Finish,Storage,Model
iPhone,"iPhone1,1",Black,4 GB,MA501
,,,8 GB,MA712
,,,16 GB,MB384
iPhone 3G,"iPhone1,2",Black,8 GB,"MB046, MB489, MB639, MB702, MC176, MB490, MB757"
,,,16 GB,"MB048, MB496, MB497, MB704, MB631"
,,White,,"MB499, MB500, MB501, MB632, MB705"
iPhone 3GS,"iPhone2,1",Black,8 GB,"MC555, MC640, MC637"
,,,16 GB,"MB715, MB719, MB735, MC131, MC135, MC139, MC143"
,,,32 GB,"MB717, MB737, MC133, MC137, MC141, MC158"
,,White,16 GB,"MB716, MB736, MC132, MC136, MC140, MC144"
,,,32 GB,"MB718, MB738, MC134, MC138, MC160"
iPhone 4,"iPhone3,1",Black,8 GB,"MD126, MD127, MD128"
,,,16 GB,"MC318, MC603, MC608"
,,,32 GB,"MC319, MC605, MC610"
,,White,8 GB,"MD196, MD197, MD198"
,,,16 GB,"MC604, MC536, MC607, MC609"
,,,32 GB,"MC606, MC537, MC611"
,"iPhone3,2",Black,8 GB,"MD128, ME798"
,,White,,ME799
,"iPhone3,3",Black,8 GB,"MD146, MD439, MD873, ME639"
,,,16 GB,MC676
,,,32 GB,MC678
,,White,8 GB,"MD200, MD440, MD874"
,,,16 GB,MC677
,,,32 GB,MC679
iPhone 4S,"iPhone4,1",Black,8 GB,"ME259, MF257, MF261, MF263, MF265, MF269, MF259, MF267"
,,,16 GB,"MC918, MC922, MD234, MD235, MD276, MD377, MD865, ME804, MD236, MD251, MD254"
,,,32 GB,"MC919, MC923, MD241, MD242, MD278, MD379, MD261, MD243"
,,,64 GB,"MD257, MD258, MD269, MD280, MD381, MD259, MD270"
,,White,8 GB,"MF258, MF260, MF262, MF264, MF266, MF270, MF268"
,,,16 GB,"MC920, MC924, MD237, MD239, MD277, MD378, MD866, ME805, MD240, MD920"
,,,32 GB,"MC921, MD244, MD279, MD380, MD246, MD245, MC925"
,,,64 GB,"MD260, MD271, MD272, MD281, MD382, MD262"
iPhone 5,"iPhone5,1",Black & Slate,16 GB,"MD293, MD634, MD638, ME486"
,,,32 GB,"MD295, MD636, ME488, MD640"
,,,64 GB,"MD642, MD644, ME490, MD646"
,,White & Silver,16 GB,"MD294, MD635, ME487, MD639"
,,,32 GB,"MD296, MD637, ME489, MD641"
,,,64 GB,"MD643, MD645, ME491, MD647"
,"iPhone5,2",Black & Slate,16 GB,"MD297, MD654, MD656, ME039, MD097, MD669, MD671"
,,,32 GB,"MD299, MD658, MD660, ME041"
,,,64 GB,"MD662, MD664, MD667, ME043"
,,White & Silver,16 GB,"MD298, MD655, MD657, ME040, MD105, MD672"
,,,32 GB,"MD300, MD659, MD661, ME042, MD144"
,,,64 GB,"MD663, MD665, MD668, ME044"
iPhone 5c,"iPhone5,3",Blue,16 GB,"ME507, ME531, ME543"
,,,32 GB,"MF136, MF151"
,,Green,16 GB,"ME508, ME496, ME544, ME568"
,,,32 GB,"MF137, MF152"
,,Pink,16 GB,"ME509, ME533, ME545"
,,,32 GB,"MF138, MF133, MF153"
,,White,16 GB,"ME505, ME493, ME541, ME565"
,,,32 GB,"MF134, MF149"
,,Yellow,8 GB,MGF12
,,,16 GB,ME506
,,,32 GB,MF135
,"iPhone5,4",Blue,8 GB,"MG0T2, MG1U2, MG902"
,,,16 GB,"ME555, ME501, ME561, MF323, MF333"
,,,32 GB,MF156
,,Green,8 GB,"MG0V2(?), MG1W2(?), MG912"
,,,16 GB,"ME556, ME502, MF324"
,,,32 GB,"MF157, MF095, MF329"
,,Pink,8 GB,"MG0V2(?), MG1W2(?), MG922"
,,,16 GB,"ME557, ME503"
,,,32 GB,"MF158, MF330"
,,White,8 GB,"MG0Q2, MG1Q2, MG8X2"
,,,16 GB,"ME553, ME499, MF321"
,,,32 GB,"MF154, MF326"
,,Yellow,8 GB,"MG0R2, MG1R2, MG8Y2"
,,,16 GB,"ME554, MF322"
,,,32 GB,"MF155, MF327"
iPhone 5s,"iPhone6,1",Gold,16 GB,"ME298, ME307, ME325, ME343, ME334"
,,,32 GB,"ME301, ME310, ME328, ME346, ME337"
,,,64 GB,"ME304, ME313, ME331, ME349, ME340"
,,Silver,16 GB,"ME297, ME306, ME324, ME333, ME342"
,,,32 GB,"ME300, ME309, ME327, ME345, ME336"
,,,64 GB,"ME303, ME312, ME348, ME339, ME330, MF359"
